time_s,C1(mol/m^3),C2(mol/m^3),J1(mol/s),J2(mol/s),J_left_2D(mol/(m s)),J_right_2D(mol/(m s)),J_left_total(mol/s),J_right_total(mol/s),Int_C_domain(mol),balance(mol),target(mol),residual(mol),relative_residual
31290.0,0.019951850081304533,4.137096718380683e-05,-3.4839646555790546e-13,3.4839646555778535e-13,-6.967929311158109e-11,6.967929311155706e-11,-3.4839646555790546e-13,3.4839646555778535e-13,4.998305262121758e-09,5.0033035673842065e-06,5e-06,3.3035673842060504e-09,0.00066071347684121
31320.0,0.019951808273904244,4.141277458410129e-05,-3.483950024539348e-13,3.4839500245381867e-13,-6.967900049078695e-11,6.967900049076373e-11,-3.483950024539348e-13,3.4839500245381867e-13,4.998305262121761e-09,5.003303567384208e-06,5e-06,3.3035673842077444e-09,0.0006607134768415488
31350.0,0.01995176646667952,4.145458180882401e-05,-3.4839353935611293e-13,3.483935393559962e-13,-6.967870787122259e-11,6.967870787119924e-11,-3.4839353935611293e-13,3.483935393559962e-13,4.998305262121765e-09,5.003303567384209e-06,5e-06,3.3035673842085915e-09,0.0006607134768417183
31380.0,0.01995172465963037,4.149638885797573e-05,-3.483920762644306e-13,3.4839207626431813e-13,-6.967841525288612e-11,6.967841525286363e-11,-3.483920762644306e-13,3.4839207626431813e-13,4.998305262121791e-09,5.003303567384209e-06,5e-06,3.3035673842085915e-09,0.0006607134768417183
31410.0,0.01995168285275679,4.153819573155719e-05,-3.483906131788951e-13,3.4839061317878433e-13,-6.967812263577902e-11,6.967812263575687e-11,-3.483906131788951e-13,3.4839061317878433e-13,4.9983052621217835e-09,5.003303567384209e-06,5e-06,3.3035673842085915e-09,0.0006607134768417183
31440.0,0.019951641046058777,4.1580002429569124e-05,-3.483891500995037e-13,3.48389150099395e-13,-6.967783001990074e-11,6.9677830019879e-11,-3.483891500995037e-13,3.48389150099395e-13,4.998305262121789e-09,5.003303567384209e-06,5e-06,3.3035673842085915e-09,0.0006607134768417183
31470.0,0.019951599239536336,4.162180895201226e-05,-3.4838768702625636e-13,3.483876870261497e-13,-6.967753740525127e-11,6.967753740522993e-11,-3.4838768702625636e-13,3.483876870261497e-13,4.998305262121795e-09,5.003303567384209e-06,5e-06,3.3035673842085915e-09,0.0006607134768417183
31500.0,0.019951557433189458,4.166361529888735e-05,-3.4838622395915555e-13,3.4838622395904867e-13,-6.967724479183111e-11,6.967724479180973e-11,-3.4838622395915555e-13,3.4838622395904867e-13,4.9983052621217884e-09,5.003303567384208e-06,5e-06,3.3035673842077444e-09,0.0006607134768415488
31530.0,0.01995151562701815,4.170542147019512e-05,-3.4838476089819367e-13,3.4838476089809164e-13,-6.967695217963873e-11,6.967695217961832e-11,-3.4838476089819367e-13,3.4838476089809164e-13,4.9983052621218075e-09,5.003303567384208e-06,5e-06,3.3035673842077444e-09,0.0006607134768415488
31560.0,0.019951473821022407,4.174722746593632e-05,-3.4838329784337915e-13,3.483832978432789e-13,-6.967665956867583e-11,6.967665956865577e-11,-3.4838329784337915e-13,3.483832978432789e-13,4.998305262121808e-09,5.003303567384208e-06,5e-06,3.3035673842077444e-09,0.0006607134768415488
